IK_INTERN,BEZ_KASSE,IK_AUFN_KASSE,VK_NUMMER,GBO
101789458,HZK-Krankenkasse Bau/BVG,101789686,17614,2
101789469,KEH Ersatzkasse/BVG,101520078,40617,2
101789481,GEK/BVG,101780006,17611,2
101789686,GEK/BVG,101780006,17611,2
102178509,Buchdrucker-Krankenkasse,101789301,74616,2
103089295,BRAUNSCHWEIGER KASSE/BVG,,03613,2
103089308,BUCHDRUCKER-KRANKENK/BVG,101789686,17616,2
103089400,GAERTNER-KRANKENKASS/BVG,103077509,03612,2
103089455,HZK-Krankenkasse Bau/BVG,103089683,03614,2
103089466,KEH Ersatzkasse/BVG,101520078,40617,2
103089488,GEK/BVG,103080003,03611,2
